Country	Region	Score	access	pop	numaccess	numnoccess	percentpopnoaccess	worldnoaccess	percenttotalnoacces
Argentina	Latin America and Caribbean	1.4	100	42981515	42981515	0	0	1055829170	0
Armenia	Asia and Middle East	0.81	100	2906220	2906220	0	0	1055829170	0
Azerbaijan	Asia and Middle East	0.79	100	9535079	9535079	0	0	1055829170	0
Bahamas	Latin America and Caribbean	0.71	100	382169	382169	0	0	1055829170	0
Bangladesh	Asia and Middle East	1.23	62.4	159405279	99468894.1	59936384.9	37.6	1055829170	5.676712351
Barbados	Latin America and Caribbean	1.3	100	283385	283385	0	0	1055829170	0
Belarus	Asia and Middle East	0.78	100	9474511	9474511	0	0	1055829170	0
Belize	Latin America and Caribbean	0.87	92.45124817	351694	325145.4927	26548.50726	7.548751831	1055829170	0.00251447
Bolivia	Latin America and Caribbean	1.1	90.038729	10562159	9510033.719	1052125.281	9.961271	1055829170	0.099649196
Botswana	Africa	0.99	56.48230362	2168573	1224859.986	943713.0139	43.51769638	1055829170	0.089381222
Brazil	Latin America and Caribbean	2.21	99.650247	204213133	203498891.4	714241.5591	0.349753	1055829170	0.067647455
Cameroon	Africa	1.04	56.8	22239904	12632265.47	9607638.528	43.2	1055829170	0.90996146
Chile	Latin America and Caribbean	1.96	100	17613798	17613798	0	0	1055829170	0
China	Asia and Middle East	2.52	100	1364270000	1364270000	0	0	1055829170	0
