Data Source,World Development Indicators,,,,,,,,,,,,,,,
Last Updated Date,12/22/17,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bermuda,BMU,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,831600000,43700000,-88170000,617153591.8,171529641.6,-70747817.17,222710475.9,-257865988.6,47614095.07,54904045.83,-3425440.524,-143094386.1,81778237.98
Bolivia,BOL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,65430000,-238620000,280763457,366294241.5,512335605.2,423040000,621997989.5,858941070.4,1059965391,1749612614,656566350.8,554643532.3,332270901.7
Brazil,BRA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,18181190855,15459981604,19378093068,44579492464,50716402711,31480932200,88452079264,1.01158E+11,86606502981,69686087841,97175059297,74718044774,78167247015
Barbados,BRB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,-12100000,238261395.9,342244377.2,451704577,462037883.8,458155604.1,668827625.3,387635239.9,437173278.3,-8083630.026,559340870.4,69489165.77,228292052
Brunei Darussalam,BRN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,113205867,175068516.6,87839128.31,257635717.5,222184549.5,325586827.8,480722547,691170274.5,864905527.5,775641999.1,567889727.2,171289167.8,-150550827.3
Bhutan,BTN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,8859907.539,6210884.354,6122702.143,73855769.76,3144001.019,18299707.23,75274009.03,31141614.86,24380673.57,20433631.07,28951712.78,10768411.29,8075838.42
Botswana,BWA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,390889365.3,420853645.9,486912042.1,494635511.7,520918009.9,208699416.1,218380384.2,1371087724,542804860.6,398456549.6,515184275.5,679446475.9,10476236.35
Central African Republic,CAF,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,15100000,10100000,34670000,56750000,117110000,42280000,61520000,36908455.89,70035157.33,1852792.612,3475007.991,3000000,31196880.99
Canada,CAN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1441912587,25545319852,64302242675,1.20423E+11,70116945931,20931399830,29712896616,38318064819,49377811367,67047596545,64253194578,54702381232,32106339018
Central Europe and the Baltics,CEB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,42935817866,55346683360,81836113309,1.53404E+11,1.38491E+11,31086568826,20440202550,49530628452,38963514773,15065850617,54499836694,22981456368,1.07344E+11
Switzerland,CHE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,7102294153,2664910821,53760772986,48688296543,2990936685,47658570355,17670735603,20764483835,39943494322,-24926465857,20369335535,97577566732,-17717098083
Channel Islands,CHI,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chile,CHL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,6847694630,7525548374,7659148331,13562872054,18627398294,13966041793,16153354561,24373585096,30561690392,21092278857,24011458729,20468714299,12225431089
China,CHN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,68117272181,1.04109E+11,1.24082E+11,1.56249E+11,1.71535E+11,1.31057E+11,2.43703E+11,2.80072E+11,2.41214E+11,2.90928E+11,2.68097E+11,2.42489E+11,1.70557E+11
Cote d'Ivoire,CIV,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,282979933.1,348920761.5,350652855.7,443215533.1,466489597,396030774,358118909,301577298.6,330274411.5,407476278.3,438772571,494209964.3,481027744.3
Cameroon,CMR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,67863015.12,243504753.3,59069772.85,189330876.4,20910875.62,743285027.3,535742601.5,652411755.8,527394101.2,547249169.1,724889079.4,694057556.6,128202346.4
"Congo, Dem. Rep.",COD,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,409032814.5,180000000,256100000,1808000000,1726800000,-243200000,2742300000,1686900000,3312142743,2098249103,1843173236,1673500100,1204708617
"Congo, Rep.",COG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,88399286.1,800996241.6,1487693084,1422370639,1940120151,1184284701,1520744891,298288001.2,-69253909.37,1878325499,2887258955,1866000000,2006000000
Colombia,COL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,3115635874,10235419011,6750618035,8885767540,10564151395,8034565810,6429772238,14646779979,15039359120,16209295753,16164172027,11632212589,13726436813
Comoros,COM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,671354.6939,558643.2487,777728.3459,7681783.082,4631824.185,13784111.95,8342263.125,23088175.8,10375785.66,4230442.065,4678330.436,5146839.506,8015631.043
Cabo Verde,CPV,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,67638273.8,80513541.33,131539968,191764359.2,210903689.3,126003552.2,116200563.6,102246382.2,128009964.8,89297444,180589795.4,96071472.84,114223589
Costa Rica,CRI,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1083718486,1528787464,1801002598,2241492021,2436112218,1614614468,1906923793,2733268840,2696295211,3205384977,3242149797,2955521681,2935113621
Caribbean small states,CSS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2292694847,3132557854,3749473256,3914059458,6464389874,3108814128,2838948469,2182682755,594787669.8,811998235.4,2826714589,2274089002,1865393457
Cuba,CUB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Curacao,CUW,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,N/A,N/A,N/A,105698324,146536312.8,55251396.65,89329608.94,70502234.64,69702234.64,-1508379.888,69296089.39,146435754.2,133083798.9
Cayman Islands,CYM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,9669090000,10221237000,14962802000,23218440000,19634184000,20425775000,11948450000,16106617000,7938619000,51453066000,20001925000,63448117000,44967703000
Cyprus,CYP,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1118841809,1161973511,1872392935,2295454940,2337953031,2830582843,13596805274,-11920544950,49600567279,-6025166434,-754354504.9,8106710246,2607132723
Czech Republic,CZE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,6423465151,13730164683,7132002408,13815656004,8815393022,5271613702,10167834375,4188736491,9433199805,7357578653,8088661930,1699914617,6497344244
Germany,DEU,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,-20444719446,59855759874,87441737296,50845049519,30926055579,56668665258,86053684912,97480731020,65464274951,67407574807,16721265607,52576912741,52474196612
Djibouti,DJI,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,38543559.85,22203341.19,108287709.4,195351140.3,227654582.2,96859684.56,36501032.52,79000230.7,109998255.7,286004467.7,152998382.3,123998424.5,159998874.6
