"Region, subregion, country or area *"	Country_code	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Turkmenistan	795	353700000	418200000	730900000	856000000	1277000000	4553000000	3632300000	3391067000	3129621000	3732196000	4170086000	4258767000	4522482143
Uganda	800	295416479.8	379808340.7	644262499.9	792305780.9	728860900.7	841570802.7	543872727.3	894293858	1205388488	1096000000	1058564540	538484375.1	522638531.6
Ukraine	804	1715000000	7808000000	5604000000	10193000000	10700000000	4769000000	6451000000	7207000000	8175000000	4509000000	847000000	3050000000	3441000000
United Arab Emirates	784	10003500000	10899931926	12805990470	14186521443	5062972005	1134288135	8796769641	7152095826	8828372518	9490990320	10823379306	8795099000	8985705000
United Kingdom	826	87059621382	2.53E+11	2.04E+11	2.10E+11	2.53E+11	14547108445	66734551294	27012050072	46750789728	54473175400	58890445253	58450557091	2.93E+11
United States	840	2.08E+11	1.38E+11	2.94E+11	3.40E+11	3.33E+11	1.54E+11	2.59E+11	2.57E+11	2.50E+11	2.88E+11	2.38E+11	5.06E+11	4.79E+11
Uruguay	858	352712784.3	826626704.3	1508350269	1358736506	2141969341	1602591813	2191067967	2690094197	6047489727	758566966.1	3691864979	2447178961	-317141167.2
Uzbekistan	860	176600000	191600000	173800000	705200000	711300000	842000000	1636448861	1635145000	563040000	628866000	631790191.6	65403200.84	66502368.15
Vanuatu	548	19840843.5	13251642.41	43447011.63	34155234.68	37694497.49	32140846.43	63109398.82	61117730.9	60388540.21	59379212.8	13266163.52	31021245.77	N/A
"Venezuela, RB"	862	1489000000	2450000000	198000000	4358000000	2083000000	-1137000000	1583000000	5855000000	4986000000	2145000000	1135000000	2956000000	1587000000
Vietnam	704	1610000000	1954000000	2400000000	6700000000	9579000000	7600000000	8000000000	7430000000	8368000000	8900000000	9200000000	11800000000	12600000000
World	900	1.01E+12	1.54E+12	2.15E+12	3.10E+12	2.45E+12	1.36E+12	1.86E+12	2.28E+12	2.11E+12	2.13E+12	1.79E+12	2.34E+12	2.30E+12
"Yemen, Rep."	887	143578198.5	-302056736.8	1120970000	917300000	1554630000	129200000	188641795.8	-517842928.5	-14239188.36	-133570895.6	-233104668.6	-15444808.35	-561000000
Zambia	894	364040000	356940000	615790000	1323900000	938620000	694800000	1729300000	1108500000	1731500000	2099800000	1507800000	1582666667	1575048919
Zimbabwe	716	8700000	102800000	40000000	68900000	51600000	105000000	122586666.7	344300000	349850000	373050000	472800000	399200000	343013813.4
