Country	Region	Score	access	taccess	pop	numaccess	noAccess 	worldNoAccess	percenttotalnoacces
Pakistan	Asia, Europe, and Middle East	1.6	97.53484344	0.975348434	185546257	180972251.3	4574005.717	1055829170	0.433214562
Panama	Latin America and Caribbean	1.22	91.59696198	0.91596962	3903986	3575932.572	328053.4281	1055829170	0.031070692
Paraguay	Latin America and Caribbean	0.47	99.000716	0.99000716	6552584	6487105.077	65478.9235	1055829170	0.006201659
Peru	Latin America and Caribbean	1.33	92.919989	0.92919989	30973354	28780437.13	2192916.87	1055829170	0.207696182
Russia	Asia, Europe, and Middle East	1.22	100	1	143819666	143819666	0	1055829170	0
Rwanda	Africa	1.56	19.8	0.198	11345357	2246380.686	9098976.314	1055829170	0.861784896
Senegal	Africa	1.68	61	0.61	14546111	8873127.71	5672983.29	1055829170	0.537301246
Sierra Leone	Africa	1.2	13.09699154	0.130969915	7079162	927157.2482	6152004.752	1055829170	0.582670467
South Africa	Africa	1.97	86	0.86	54146734.74	46566191.88	7580542.864	1055829170	0.717970585
Sri Lanka	Asia, Europe, and Middle East	1.36	92.19124603	0.92191246	20771000	19149043.71	1621956.287	1055829170	0.153619196
Suriname	Latin America and Caribbean	0.47	100	1	547928	547928	0	1055829170	0
Tajikistan	Asia, Europe, and Middle East	0.66	99.98976135	0.999897614	8362745	8361888.768	856.2319786	1055829170	8.10957E-05
Tanzania	Africa	1.26	15.50144958	0.155014496	52234869	8097161.884	44137707.12	1055829170	4.180383377
Trinidad & Tobago	Latin America and Caribbean	0.63	100	1	1354493	1354493	0	1055829170	0
Turkey	Asia, Europe, and Middle East	1.58	88.1	0.881	77030628	67863983.27	9166644.732	1055829170	0.868193927
Turkmenistan	Asia, Europe, and Middle East	0.21	98.2	0.982	5466241	5367848.662	98392.338	1055829170	0.009318964
Uganda	Africa	1.47	20.4	0.204	38833338	7922000.952	30911337.05	1055829170	2.927683562
Ukraine	Asia, Europe, and Middle East	1.13	90.2	0.902	45271947	40835296.19	4436650.806	1055829170	0.420205364
Uruguay	Latin America and Caribbean	1.83	99.657085	0.99657085	3419546	3407819.864	11726.13617	1055829170	0.001110609
Uzbekistan	Asia, Europe, and Middle East	0.54	98.4	0.984	30757700	30265576.8	492123.2	1055829170	0.046610116
Venezuela	Asia, Europe, and Middle East	0.49	99.10779572	0.991077957	30738378	30464128.87	274249.1256	1055829170	0.025974763
Vietnam	Asia, Europe, and Middle East	1.8	99.2	0.992	90728900	90003068.8	725831.2	1055829170	0.068745136
Zambia	Africa	0.96	27.9	0.279	15620974	4358251.746	11262722.25	1055829170	1.066718232
Zimbabwe	Africa	0.83	32.3	0.323	15411675	4977971.025	10433703.98	1055829170	0.988200011
