Country Name\tRegion\tKWH/Capita\tRenewable as % of Electical production
Argentina\tLatin American  & Caribbean\t3052.381937\t2.49610647
Bangladesh\tAsia\t310.3912261\t0.26680992
"Bahamas\t The"\tLatin American  & Caribbean\t\t
Belize\tLatin American  & Caribbean\t\t
Bolivia\tLatin American  & Caribbean\t752.6870217\t2.295830954
Brazil\tLatin American  & Caribbean\t2601.365506\t9.854190088
Barbados\tLatin American  & Caribbean\t\t
Botswana\tAfrica\t1748.615334\t0.042319086
Chile\tLatin American  & Caribbean\t3911.649265\t9.84685088
China\tAsia\t3927.0445\t4.057312851
Cote d'Ivoire\tAfrica\t276.1485663\t0.844798455
Cameroon\tAfrica\t280.6666791\t1.040161803
"Congo\t Dem. Rep."\tAfrica\t108.5823312\t0
Colombia\tLatin American  & Caribbean\t1289.569693\t3.147883295
Costa Rica\tLatin American  & Caribbean\t1957.930248\t24.04815504
Dominican Republic\tLatin American  & Caribbean\t1578.151662\t4.727292306
Ecuador\tLatin American  & Caribbean\t1380.610286\t2.036450405
Ethiopia\tAfrica\t69.71577388\t4.274570983
Ghana\tAfrica\t354.714053\t0.030857055
Guatemala\tLatin American  & Caribbean\t577.8858859\t23.4032634
Guyana\tLatin American  & Caribbean\t\t
Honduras\tLatin American  & Caribbean\t630.1355308\t11.45807415
Haiti\tLatin American  & Caribbean\t38.96914873\t0
Indonesia\tAsia\t811.9001839\t4.808470609
India\tAsia\t805.5991906\t5.184100022
Jamaica\tLatin American  & Caribbean\t1055.523469\t6.474296799
Kenya\tAfrica\t166.7381869\t45.73341975
Liberia\tAfrica\t\t
Sri Lanka\tAsia\t531.2695585\t2.672337694
